distance_A,electrons
0.000000000000000000e+00,0.000000000000000000e+00
7.429347038454751917e-02,3.956085862659300734e+00
1.485869407690950383e-01,7.717903372599723255e+00
2.228804111536425436e-01,1.112798745997515226e+01
2.971738815381900767e-01,1.407896401289964139e+01
3.714673519227376097e-01,1.652457236472624658e+01
4.457608223072850873e-01,1.847881560812524881e+01
5.200542926918326758e-01,2.000484578541988512e+01
5.943477630763801534e-01,2.119700817647751023e+01
6.686412334609276309e-01,2.216022838197510936e+01
7.429347038454752195e-01,2.299284451861485223e+01
8.172281742300226970e-01,2.378316828321055354e+01
8.915216446145701745e-01,2.461578441985030352e+01
9.658151149991177631e-01,2.557900462534789554e+01
1.040108585383665352e+00,2.677116701640551710e+01
1.114402055768212829e+00,2.829719719370016762e+01
1.188695526152760307e+00,3.025144043709914499e+01
1.262988996537307784e+00,3.269704878892578392e+01
1.337282466921855262e+00,3.564802534185027127e+01
1.411575937306402961e+00,3.905810942922571627e+01
1.485869407690950439e+00,4.281992693916613746e+01
1.560162878075497916e+00,4.677601280182541643e+01
1.634456348460045394e+00,5.074032450168464692e+01
1.708749818844592872e+00,5.452607738336791954e+01
1.783043289229140349e+00,5.797370986329391229e+01
1.857336759613688049e+00,6.097291654887025913e+01
1.931630229998235526e+00,6.347434170612510229e+01
2.005923700382783004e+00,6.548950928372126157e+01
2.080217170767330703e+00,6.708022670487846995e+01
2.154510641151877959e+00,6.834064511622477767e+01
2.228804111536425658e+00,6.937862942096128904e+01
2.303097581920972914e+00,7.030687248324790062e+01
2.377391052305520613e+00,7.123928613628341111e+01
2.451684522690068313e+00,7.228777003949564062e+01
2.525977993074615569e+00,7.355960571879377596e+01
2.600271463459163268e+00,7.515524783191295910e+01
2.674564933843710524e+00,7.716072815227516912e+01
2.748858404228258223e+00,7.963047350997821638e+01
2.823151874612805923e+00,8.257065231981374609e+01
2.897445344997353178e+00,8.592935244701682507e+01
2.971738815381900878e+00,8.959699252558421279e+01
3.046032285766448133e+00,9.341831890322981735e+01
3.120325756150995833e+00,9.721459677979200364e+01
3.194619226535543532e+00,1.008112158622683410e+02
3.268912696920090788e+00,1.040643882553003152e+02
3.343206167304638488e+00,1.068806717285295349e+02
3.417499637689185743e+00,1.092257147171235090e+02
3.491793108073733443e+00,1.111214447135082395e+02
3.566086578458280698e+00,1.126339289357465532e+02
3.640380048842828398e+00,1.138564059436083937e+02
3.714673519227376097e+00,1.148979735837989296e+02
3.788966989611923353e+00,1.158780390634751853e+02
3.863260459996471052e+00,1.169196067036657496e+02
3.937553930381018308e+00,1.181420837115275759e+02
4.011847400765566007e+00,1.196545679337658612e+02
4.086140871150113263e+00,1.215502979301505917e+02
4.160434341534661407e+00,1.238953409187445942e+02
4.234727811919208662e+00,1.267116243919738281e+02
4.309021282303755918e+00,1.299647967850058023e+02
4.383314752688304061e+00,1.335614158674821397e+02
4.457608223072851317e+00,1.373576937440443260e+02
4.531901693457398572e+00,1.411790201216899163e+02
4.606195163841945828e+00,1.448466602002573325e+02
4.680488634226493971e+00,1.482053603274604257e+02
4.754782104611041227e+00,1.511455391372959411e+02
4.829075574995588482e+00,1.536152844949990026e+02
4.903369045380136626e+00,1.556207648153612126e+02
4.977662515764683882e+00,1.572164069284804100e+02
5.051955986149231137e+00,1.584882426077784885e+02
5.126249456533778392e+00,1.595367265109907180e+02
5.200542926918326536e+00,1.604691401640262427e+02
5.274836397302873792e+00,1.613973832263129111e+02
5.349129867687421047e+00,1.624353675310494225e+02
5.423423338071969191e+00,1.636957859423957302e+02
5.497716808456516446e+00,1.652865033635529812e+02
5.572010278841063702e+00,1.673016709411491547e+02
5.646303749225611845e+00,1.698030960984039552e+02
5.720597219610159101e+00,1.728023027839803092e+02
5.794890689994706356e+00,1.762499352639063375e+02
5.869184160379253612e+00,1.800356881455896030e+02
5.943477630763801756e+00,1.839999998454488264e+02
