distance_A,density_e_per_A3
0.000000000000000000e+00,1.507417150509659409e+00
7.429347038454751917e-02,1.433393618954445614e+00
1.485869407690950383e-01,1.299369987519529701e+00
2.228804111536425714e-01,1.124432790657390990e+00
2.971738815381900767e-01,9.318685440499934192e-01
3.714673519227376097e-01,7.446400011619205284e-01
4.457608223072851428e-01,5.814747559353811157e-01
5.200542926918326758e-01,4.542586022804003809e-01
5.943477630763801534e-01,3.670230394111045902e-01
6.686412334609277419e-01,3.172579887632055451e-01
7.429347038454752195e-01,3.011430081565740768e-01
8.172281742300228080e-01,3.172579887632083206e-01
8.915216446145702855e-01,3.670230394111018146e-01
9.658151149991176521e-01,4.542586022803994927e-01
1.040108585383665352e+00,5.814747559353871109e-01
1.114402055768212829e+00,7.446400011619107584e-01
1.188695526152760307e+00,9.318685440500055206e-01
1.262988996537307784e+00,1.124432790657390102e+00
1.337282466921855484e+00,1.299369987519536362e+00
1.411575937306402961e+00,1.433393618954444060e+00
1.485869407690950439e+00,1.507417150509650305e+00
1.560162878075497916e+00,1.510551503125590278e+00
1.634456348460045616e+00,1.442513893670813951e+00
1.708749818844593094e+00,1.313677333939643699e+00
1.783043289229140571e+00,1.142810280847124993e+00
1.857336759613688049e+00,9.531368412281110425e-01
1.931630229998235304e+00,7.678544584412781981e-01
2.005923700382783004e+00,6.061230229859079222e-01
2.080217170767330703e+00,4.802667070538199634e-01
2.154510641151877959e+00,3.955109664550781057e-01
2.228804111536425658e+00,3.536954354655649224e-01
2.303097581920973358e+00,3.552845870261973071e-01
2.377391052305520613e+00,3.995117074311916872e-01
2.451684522690068313e+00,4.846171145323344698e-01
2.525977993074615569e+00,6.079995154034597560e-01
2.600271463459163268e+00,7.641632499582474702e-01
2.674564933843710968e+00,9.410656489368052213e-01
2.748858404228258223e+00,1.120318445396910834e+00
2.823151874612805923e+00,1.279790770709296144e+00
2.897445344997353622e+00,1.397508483957089265e+00
2.971738815381900878e+00,1.456068730390447818e+00
3.046032285766448133e+00,1.446524311629448611e+00
3.120325756150995833e+00,1.370446819657933801e+00
3.194619226535543532e+00,1.239580744469620077e+00
3.268912696920091232e+00,1.073109673456105195e+00
3.343206167304638488e+00,8.935493673316730057e-01
3.417499637689186187e+00,7.223442585659702875e-01
3.491793108073733443e+00,5.763132387992964123e-01
3.566086578458281142e+00,4.658096087216729297e-01
3.640380048842828842e+00,3.968763517138815256e-01
3.714673519227376097e+00,3.734417209269978444e-01
3.788966989611923797e+00,3.968763517138921837e-01
3.863260459996470608e+00,4.658096087216693770e-01
3.937553930381018752e+00,5.763132387992893069e-01
4.011847400765566007e+00,7.223442585659708426e-01
4.086140871150113263e+00,8.935493673316804442e-01
4.160434341534661407e+00,1.073109673456108082e+00
4.234727811919208662e+00,1.239580744469620743e+00
4.309021282303755918e+00,1.370446819657929804e+00
4.383314752688304061e+00,1.446524311629447723e+00
4.457608223072851317e+00,1.456068730390442267e+00
4.531901693457398572e+00,1.397508483957097258e+00
4.606195163841946716e+00,1.279790770709305026e+00
4.680488634226493971e+00,1.120318445396901064e+00
4.754782104611041227e+00,9.410656489368107724e-01
4.829075574995589371e+00,7.641632499582501348e-01
4.903369045380136626e+00,6.079995154034603111e-01
4.977662515764683882e+00,4.846171145323183715e-01
5.051955986149231137e+00,3.995117074311899108e-01
5.126249456533779281e+00,3.552845870261988614e-01
5.200542926918326536e+00,3.536954354655812427e-01
5.274836397302873792e+00,3.955109664550767734e-01
5.349129867687421935e+00,4.802667070538171878e-01
5.423423338071969191e+00,6.061230229859235763e-01
5.497716808456516446e+00,7.678544584412795304e-01
5.572010278841064590e+00,9.531368412280946112e-01
5.646303749225611845e+00,1.142810280847131654e+00
5.720597219610159101e+00,1.313677333939654801e+00
5.794890689994707245e+00,1.442513893670812619e+00
5.869184160379253612e+00,1.510551503125590500e+00
